"ID","Name","Rating","Price","Latitude","Longitude"
150,"Tropical Caribbean Restaurant",4,NA,41.3186,-72.9343
151,"House of Chao",3.5,1,41.3269,-72.9605
152,"168 York St Cafe",3.5,1,41.3081,-72.9321
153,"Ixtapa Mexican Tacos",4.5,1,41.2925,-72.9194
154,"Manjares Fine Pastries & Tapas Bar",4,1,41.3255,-72.959
155,"Joey D's Pizzeria",4,1,41.2582,-72.8914
156,"The Portobello Latin Food Cart",4.5,1,41.3099,-72.9231
157,"Miso Japanese Restaurant",3.5,1,41.3035,-72.9251
158,"Portofino's Restaurant & Bar",3.5,1,41.3147,-72.9107
159,"Thali",3.5,1,41.3033,-72.9259
160,"Fireside Bar & Grill",3.5,1,41.2906,-72.8942
161,"Yale Cabaret",4.5,NA,41.3095,-72.9326
162,"Christopher Martins Restaurant",3.5,1,41.3136,-72.9132
163,"Bill's Carousel Ice Cream",4.5,1,41.3301,-72.9695
164,"El Amigo Felix",3.5,1,41.3128,-72.9331
165,"Cafe Romeo",3,1,41.315,-72.9173
166,"The Greek Olive",3,1,41.2946,-72.9195
167,"B & M Quality Delicatessen",4,NA,41.3173,-72.8977
168,"Mama Mary's Soul Food",3.5,1,41.3174,-72.9455
169,"Yorkside Pizza and Restaurant",3,1,41.3111,-72.93
170,"91 Diner Restaurant",3.5,1,41.3284,-72.8784
171,"John Davenport's",3.5,1,41.3057,-72.9272
172,"Little Salad Shop",3.5,1,41.3073,-72.9305
173,"Buffalo Wild Wings",2.5,1,41.3053,-72.9266
174,"Town Pizza Restaurant",4,1,41.311,-72.9222
175,"Ali Baba's Fusion",4,1,41.3032,-72.9343
176,"The Meat Truck",4,1,41.3076,-72.9246
177,"Alpha Delta Pizza",3,1,41.3121,-72.9332
178,"Panera Bread",3,1,41.3077,-72.9302
179,"Costa Pizza",3.5,1,41.3105,-72.9225
180,"Chap's Grille",2.5,1,41.3087,-72.9335
181,"Wall Street Pizza & Restaurant",3,1,41.3104,-72.9258
182,"Westville Seafood Drive In",3.5,1,41.3358,-72.9768
183,"Grand Apizza",4.5,1,41.3096,-72.8917
184,"Gennaro's Apizza",3,1,41.3048,-72.9373
185,"Athenian Diner",3,1,41.3335,-72.9764
186,"Salsa Fresca Mexican Grill",3,1,41.3109,-72.93
187,"Good Nature Market",3.5,1,41.3111,-72.9302
188,"Brick Oven Pizza",3,1,41.3121,-72.9338
189,"Clark's",4,1,41.2895,-72.9299
190,"Mory's Association",3.5,1,41.3118,-72.9296
191,"Cafe Java",4,1,41.3081,-72.9227
192,"The Little Colombia Restaurant",5,1,41.285,-72.887
193,"Thali Too",4,1,41.312,-72.9307
194,"Lalibela Ethiopian Restaurant",3.5,1,41.3065,-72.9273
195,"Christy's Irish Pub",4,1,41.3079,-72.9221
196,"Blessings II Go",3,1,41.3145,-72.9118
197,"Salad Shop",3.5,1,41.3108,-72.9225
198,"Tandoor The Clay Oven",4,1,41.3092,-72.9354
199,"Frisco's Pizza",4,NA,41.2903,-72.8955
200,"Kamal",3.5,1,41.3127,-72.9333
201,"Ay! Salsa Cart",4,1,38.4906,-91.2635
202,"Basta Trattoria",4,1,41.3072,-72.9289
203,"Buen Gusto Restaurant",4.5,NA,41.3087,-72.9023
204,"Thai Taste",3.5,1,41.309,-72.9325
205,"Roly Poly Sandwiches",3.5,1,41.3086,-72.9255
206,"Pizza Heaven",3,1,41.3283,-72.9566
207,"Lean's Vietnamese Food Cart",4,1,41.3043,-72.9341
208,"Fresh Taco",2.5,1,41.3076,-72.9222
209,"China King",2.5,1,41.3066,-72.9276
210,"Island Spice",4.5,1,41.3178,-72.9441
211,"Santa Apolonia Taco Truck",4,1,41.2922,-72.9197
212,"West End Bistro",4.5,1,41.27,-72.9585
213,"Blue State Coffee",3.5,1,41.3018,-72.9332
214,"K & G Corner Deli",3.5,1,41.3063,-72.9236
215,"Sushi Mizu",3,1,41.3137,-72.9339
216,"Thai Sweet Sticky Rice",4.5,1,41.3161,-72.9244
217,"Court Street Apizza",4.5,1,41.3062,-72.9225
218,"Main Garden",2.5,1,41.3117,-72.9331
219,"Tre Scalini Restaurant",3,1,41.3025,-72.9149
220,"Moe's Southwest Grill",3,1,41.3119,-72.9225
221,"Moghuli Food Cart",4.5,1,41.3139,-72.9251
222,"Chipotle Mexican Grill",2.5,1,41.3062,-72.9266
223,"Loris Cafe",4.5,NA,41.3158,-72.9001
224,"Clark's Pizza & Restaurant",3,1,41.3124,-72.9222
225,"Wings Over",3,1,41.3123,-72.9222
226,"La Cabaña",4,NA,41.3074,-72.9172
227,"Spooner Restaurant & Pizza",4,1,41.3331,-72.9759
228,"Arecibo's Restaurant",4,1,41.3087,-72.9023
229,"Panaderia La Tapatia",3,1,41.3089,-72.8997
230,"Sports Haven Bar & Grille",3,1,41.2994,-72.912
231,"Wok Number One",4.5,NA,41.3149,-72.8976
232,"Tropical Smoothie Cafe",3,1,41.3136,-72.9323
233,"B-Natural Cafe",5,NA,41.3051,-72.9243
234,"Popeyes Louisiana Chicken",4,1,41.2824,-72.9382
235,"Now We're Smokin",3.5,1,41.2922,-72.9431
236,"Lalibela Cart",4,1,41.3161,-72.9244
237,"Ah-Beetz",3.5,1,41.3068,-72.927
238,"Dayton Street Apizza",3.5,1,41.329,-72.9687
239,"Viva Zapata",3,1,41.3081,-72.934
240,"La Vero",3.5,1,41.3046,-72.9342
241,"Peking Edo Cart",4.5,1,41.304,-72.9349
242,"La Molienda Peruvian Restaurant & Bar",3.5,1,41.3095,-72.8919
243,"Claire's Corner Copia",3,1,41.3072,-72.9289
244,"Bruegger's Bagels",2.5,1,41.3106,-72.9223
245,"New Haven Pizza",2,1,41.3107,-72.9496
246,"Ixtapa #1 Truck",4,1,41.2925,-72.9194
247,"Ali Baba's Fusion",4.5,1,41.3402,-72.9357
248,"Bistro Mediterranean & Tapas Bar",4,1,41.2808,-72.8761
249,"Polmag Deli",4.5,NA,41.3127,-72.9146
250,"Popeyes Louisiana Kitchen",3,1,41.3136,-72.9336
251,"Wireless Caribbean Restaurant",4,NA,41.3013,-72.9421
252,"Vivi Bubble Tea",3.5,1,41.3066,-72.9275
253,"Sandbar Seafood",4,1,41.2806,-72.9396
254,"The Twisted Croissant",4.5,1,41.3019,-72.9337
255,"Rong Fa Chinese Restaurant",4,NA,41.2944,-72.9329
256,"The Soup Girl",4.5,1,41.3464,-72.9126
257,"Savin Rock Roasting Company",4,1,41.26,-72.9487
258,"Tacos Los Michoacanos",4,1,41.2915,-72.9204
259,"Stowe's Seafood",4,1,41.2589,-72.942
260,"Westville Pizza",3,1,41.327,-72.9599
261,"Sushi on Chapel",3,1,41.3074,-72.9294
262,"Empire Pizza",2,1,41.3131,-72.9335
263,"Overlook Café at YNHH",3,1,41.3043,-72.9364
264,"Amity Brick Oven Pizza",2.5,1,41.3382,-72.9801
265,"Whalley Pizza",3.5,1,41.3171,-72.9441
266,"Cafe George By Paula",3,1,41.3057,-72.9323
267,"Pad Thai Restaurant",3.5,1,41.3086,-72.9334
268,"The Halal Guys",3,1,41.3063,-72.9266
269,"Sugar Cupcake Truck",4,1,41.3076,-72.9246
270,"One Stop Mart & Deli",3.5,1,41.3229,-72.9109
271,"Spuds Your Way",5,1,41.3725,-72.9229
272,"Crown Chicken & Fish",5,1,41.2727,-72.972
273,"Denny's",2.5,1,41.3345,-72.9753
274,"Hayama Cart",4.5,1,41.3161,-72.9244
275,"Saray Turkish Restaurant",4.5,1,41.2796,-72.9558
276,"Woodbridge Social",3.5,1,41.339,-72.9819
277,"Taste of Thai Cart",5,1,41.3161,-72.9244
278,"Freskos",4.5,1,41.3817,-72.9023
279,"Nick's Luncheonette",4.5,1,41.2788,-72.9413
280,"Bruegger's Bagels",3,1,41.3344,-72.9771
281,"Wing Madness",2.5,1,41.3328,-72.9355
282,"Georgie's Diner",4,1,41.2734,-72.9574
283,"El Poblano Mexican Food Cart",5,NA,41.3166,-72.9247
284,"Thai Spice",4.5,1,41.2734,-72.9939
285,"Whalley's Seafood",2,NA,41.3148,-72.9363
286,"Clementes Pizza & Grill",4.5,1,41.331,-72.9736
287,"La Esquina Del Mofongo",4,NA,41.2861,-72.9361
288,"Michaelangelo Pizza & Subs Restaurant",4.5,1,41.308,-72.9691
289,"J & B Deli Grocery",3,1,41.3086,-72.9317
290,"Turkish Kebab House",4.5,1,41.2911,-72.9586
291,"Brazzas &  Charcoal",4.5,1,41.2819,-72.8776
292,"Shang Hai",3,1,41.3177,-72.9449
293,"Sofie's Gourmet",3,NA,41.3043,-72.9289
294,"Uncle Willie's BBQ",4,1,41.2716,-72.9741
295,"Zaroka Bar And Restaurant",4,1,41.3077,-72.9325
296,"Sbarro",3,1,41.2985,-72.926
297,"Texas Roadhouse",4,1,41.2692,-72.9762
298,"Saoco Restaurant",4,1,41.305,-72.9658
299,"State Street Cafe",4.5,1,41.3696,-72.8867
300,"Panda House",4,1,41.2787,-72.9442
301,"Aztec Grill & Grocery",4.5,1,41.3412,-72.8624
302,"Seoul Restaurant",3,1,41.3075,-72.933
303,"Katz's Restaurant Deli",3,1,41.3401,-72.9783
304,"State Garden",3,1,41.3153,-72.9107
305,"Delmonaco's Market",2,1,41.2696,-72.8967
306,"Pizza Corner",3,NA,41.3046,-72.9342
307,"McDonald's",1.5,1,41.3157,-72.9414
308,"Playwright Irish Pub Restaurant",3.5,1,41.3457,-72.9126
309,"Sapori D'Italia",4.5,1,41.3542,-72.9361
310,"The Terrace",4.5,1,41.3549,-72.9287
311,"Grimaldi's Italian Kitchen",3.5,1,41.3403,-72.9776
312,"Curry in a Hurry",4,NA,41.3167,-72.9247
313,"Thai Noodle Cafe",4,NA,41.3063,-72.927
314,"Avellino's Apizza",3,1,41.3084,-72.9026
315,"Cedar Falafel House",4.5,1,41.2881,-72.9717
316,"State Garden II",2.5,1,41.3342,-72.9766
317,"Downtown Pizza",3,1,41.318,-72.9338
318,"Elm Diner",3.5,1,41.2788,-72.9443
319,"Home",4,1,41.2833,-72.8106
320,"Burrito Bliss",4,NA,41.3035,-72.9358
321,"The 4B Festival",2,NA,41.3163,-72.9029
322,"Wood-n-Tap Bar & Grill - Hamden",3.5,1,41.3701,-72.9217
323,"Mikro",4,1,41.4043,-72.8992
324,"Olympia Diner",2.5,1,41.295,-72.9464
325,"744 West Bar & Grill",4,1,41.2876,-72.9729
326,"Sandwiches El Cubano",4,1,41.2918,-72.9203
